# component	source	tag	commit
chromium-webview	factfinding/chromium	v0.2.3	5103c22dfa55f8288b723a8653f6785239932da7
chromium-depot-tools	chromium/tools/depot_tools	pinned	d22ef3bf62a8c3c76d9c7427015bdfec7665587a
waydroid-host	factfinding/waydroid	loongarch64-1.6.3-rel2	1dd74506aa85ac0a8dab72c985b3e35b83b5efb5
aosc-lxc	factfinding/aosc-os-abbs	lxc-7.0.0-1-loongarch64	6f5a73733b47aa1a9f8eeae5713d49e3245e8d4b
waydroid-helper	factfinding/waydroid-helper	loongarch64/main	8e2c6fcf6dfab43b0769817f48f15170e9dfd248
